('indoor', 'pool') = 18.370867762208572
('complimentary', 'breakfast') = 15.922053848862687
('at', 'reception') = 15.752890204259455
('long', 'day') = 15.658372605475165
('reasonable', 'price') = 15.343499268121752
('expect', 'what') = 15.247980955104333
('down', 'road') = 14.541145027122514
('different', 'room') = 14.512575874925744
('expected', 'what') = 14.457434320733283
('different', 'rooms') = 14.273109940230356
('drunk', 'people') = 14.26103710792978
('down', 'side') = 14.235041899396835
('different', 'one') = 14.038644686593331
('spectacular', 'view') = 13.920000190094713
('memorable', 'one') = 13.845999608650937
('buck', 'bang') = 13.775610280759539
('romantic', 'weekend') = 13.775610280759539
('higher', 'price') = 13.720468726567077
('berney', 'fly') = 13.676074607208625
('shared', 'elevator') = 13.676074607208625
('memorial', 'weekend') = 13.676074607208625
('overpriced', 'what') = 13.676074607208623
('spend', 'lot') = 13.608960411350086
('house', 'keeping') = 13.608960411350086
('typical', 'standard') = 13.582965202817142
('typical', 'breakfast') = 13.582965202817142
('bacon', 'sausage') = 13.553217859423091
('gravy', 'sausage') = 13.534602181255742
('sketchy', 'neighborhood') = 13.512575874925744
('needed', 'what') = 13.488141656615548
('patties', 'sausage') = 13.453682185872175
('cereals', 'sausage') = 13.453682185872175
('long', 'weekend') = 13.362916721948993
('available', 'rooms') = 13.359847262209236
('wanted', 'what') = 13.335037689373557
('enjoy', 'pool') = 13.309946708410726
('bright', 'spot') = 13.26103710792978
('shared', 'lot') = 13.261037107929779
('fold', 'bed') = 13.261037107929779
('said', 'review') = 13.261037107929779
('outstanding', 'service') = 13.258463164265953
('exceptional', 'service') = 13.257342624372038
('busy', 'weekend') = 13.204453579563413
('different', 'people') = 13.190647780038383
('make', 'one') = 13.17357426667944
('high', 'price') = 13.163739906574865
('gods', 'peak') = 13.123533584179844
('for', 'getaway') = 13.099573685235663
('expect', 'one') = 13.05158374230083
('eggs', 'sausage') = 13.038644686593331
('fight', 'screaming') = 12.998002702095986
('biscuits', 'sausage') = 12.998002702095986
('buy', 'food') = 12.968255358701933
('offers', 'convenience') = 12.939109013042417
('offers', 'review') = 12.939109013042417
('expected', 'price') = 12.904893297704504
('different', 'experience') = 12.88252548467605
('memorable', 'experience') = 12.88252548467605
('greeted', 'smile') = 12.88252548467605
('available', 'one') = 12.88252548467605
('glad', 'hope') = 12.845999608650937
('higher', 'floor') = 12.845999608650937
('excellent', 'service') = 12.844024666465879
('world', 'charm') = 12.828077700653674
('long', 'trip') = 12.810375698920215
('tasty', 'breakfast') = 12.787435716156327
('tasty', 'food') = 12.775610280759539
('different', 'hotel') = 12.69408039526294
('walking', 'everywhere') = 12.676074607208625
('important', 'what') = 12.676074607208623
('is', 'downside') = 12.623607187314487
('enjoy', 'view') = 12.618069003773059
('long', 'time') = 12.600922333291265
('say', 'what') = 12.593612447016652
('fly', 'bed') = 12.582965202817142
('typical', 'side') = 12.582965202817142
('typical', 'what') = 12.582965202817142
('top', 'notch') = 12.54734129308642
('easy', 'distance') = 12.543180336711279
('expect', 'price') = 12.511015360938128
('romantic', 'getaway') = 12.495502361566803
('bad', 'review') = 12.495502361566803
('make', 'day') = 12.495502361566803
('make', 'people') = 12.495502361566803
('decent', 'breakfast') = 12.493210550058814
('clear', 'day') = 12.453682185872175
('romantic', 'one') = 12.453682185872175
('different', 'lot') = 12.453682185872175
('different', 'floor') = 12.453682185872175
('beautiful', 'view') = 12.453682185872175
('bigger', 'room') = 12.444749061102168
('your', 'review') = 12.43791487001386
('gorgeous', 'view') = 12.431655879542177
('for', 'period') = 12.424535840212659
('bug', 'legged') = 12.41304020137483
('typical', 'motel') = 12.41304020137483
('eye', 'contact') = 12.41304020137483
('bright', 'side') = 12.41304020137483
('fantastic', 'view') = 12.40364150337258
('enjoyable', 'experience') = 12.397098657505808
('available', 'pool') = 12.385025825205233
('busy', 'road') = 12.367952311846292
('loved', 'pool') = 12.36454168368364
('superior', 'food') = 12.360572781480695
('clear', 'pool') = 12.360572781480695
('hope', 'pleasure') = 12.354146512321261
('available', 'room') = 12.34486869873325
('relaxing', 'getaway') = 12.343499268121752
('make', 'bed') = 12.343499268121752
('lacking', 'breakfast') = 12.342650873483432
('put', 'smile') = 12.335037689373557
('hello', 'smile') = 12.335037689373557
('expensive', 'what') = 12.330578041182857
('came', 'contact') = 12.328151303788317
('bigger', 'rooms') = 12.325577360124491
('say', 'enough') = 12.313504527823916
('superior', 'service') = 12.302857283624407
('good', 'food') = 12.293609832127679
('muffins', 'sausage') = 12.290183453589297
('spend', 'time') = 12.283314028216614
('character', 'charm') = 12.26103710792978
('fly', 'weekend') = 12.261037107929779
('superior', 'one') = 12.261037107929779
('turn', 'period') = 12.261037107929779
('pleasure', 'hope') = 12.261037107929779
('greatest', 'part') = 12.261037107929779
('sketchy', 'elevator') = 12.261037107929779
('long', 'way') = 12.225413198199059
('spend', 'day') = 12.216642988571326
('on', 'reception') = 12.204453579563413
('convenient', 'location') = 12.191351362125426
('interesting', 'people') = 12.190647780038383
('sheet', 'fitted') = 12.190647780038383
('charges', 'explain') = 12.190647780038383
('fabulous', 'view') = 12.190647780038383
('nobody', 'acknowledged') = 12.167927703538298
('pike', 'peak') = 12.123533584179844
('joke', 'breakfast') = 12.123533584179844
('good', 'breakfast') = 12.121909205795514
('fancy', 'nothing') = 12.12146421489238
('has', 'charm') = 12.091112106487468
('strong', 'enough') = 12.091112106487467
('success', 'day') = 12.091112106487467
('make', 'trip') = 12.08046486228796
('excellent', 'food') = 12.07726598062064
